,Neighborhood,Exterior1st,Exterior2nd,SalePrice
605,NAmes,HdBoard,HdBoard,205000
606,CollgCr,VinylSd,VinylSd,152000
607,Edwards,MetalSd,MetalSd,225000
608,Crawfor,BrkFace,Wd Sdng,359100
609,Sawyer,VinylSd,VinylSd,118500
610,CollgCr,VinylSd,VinylSd,313000
611,NWAmes,HdBoard,HdBoard,148000
612,CollgCr,VinylSd,VinylSd,261500
613,Mitchel,VinylSd,VinylSd,147000
614,MeadowV,CemntBd,CmentBd,75500
615,NAmes,MetalSd,MetalSd,137500
616,Gilbert,VinylSd,VinylSd,183200
617,NAmes,MetalSd,MetalSd,105500
618,NridgHt,CemntBd,CmentBd,314813
619,Timber,VinylSd,VinylSd,305000
620,Edwards,Stucco,Stucco,67000
621,NWAmes,HdBoard,HdBoard,240000
622,Sawyer,Plywood,Plywood,135000
623,Somerst,MetalSd,MetalSd,168500
624,NWAmes,VinylSd,VinylSd,165150
625,NAmes,Wd Sdng,Wd Sdng,160000
626,NAmes,Wd Sdng,Wd Sdng,139900
627,NAmes,AsbShng,AsbShng,153000
628,NAmes,Plywood,Plywood,135000
629,NAmes,Plywood,Wd Sdng,168500
630,OldTown,VinylSd,VinylSd,124000
631,NridgHt,VinylSd,VinylSd,209500
632,NWAmes,Plywood,Plywood,82500
633,NAmes,Wd Sdng,Wd Sdng,139400
634,OldTown,Plywood,Plywood,144000
635,SWISU,VinylSd,VinylSd,200000
636,BrkSide,AsbShng,AsbShng,60000
637,OldTown,Wd Sdng,Wd Sdng,93000
638,Edwards,MetalSd,Wd Sdng,85000
639,Blmngtn,VinylSd,VinylSd,264561
640,NridgHt,MetalSd,MetalSd,274000
641,Somerst,VinylSd,VinylSd,226000
642,NAmes,Plywood,Wd Sdng,345000
643,NWAmes,WdShing,HdBoard,152000
644,Somerst,CemntBd,CmentBd,370878
645,NAmes,Plywood,Plywood,143250
646,NAmes,MetalSd,MetalSd,98300
647,Edwards,Wd Sdng,Wd Sdng,155000
648,NAmes,MetalSd,MetalSd,155000
649,MeadowV,CemntBd,CmentBd,84500
650,Somerst,CemntBd,CmentBd,205950
651,Edwards,MetalSd,MetalSd,108000
652,CollgCr,VinylSd,VinylSd,191000
653,IDOTRR,MetalSd,MetalSd,135000
654,NoRidge,MetalSd,MetalSd,350000
655,BrDale,HdBoard,ImStucc,88000
656,NAmes,HdBoard,HdBoard,145500
657,Crawfor,Stucco,Wd Shng,149000
658,NAmes,VinylSd,VinylSd,97500
659,Edwards,MetalSd,MetalSd,167000
660,NWAmes,Plywood,Plywood,197900
661,NoRidge,VinylSd,VinylSd,402000
662,NAmes,Wd Sdng,Wd Sdng,110000
663,Edwards,Plywood,Plywood,137500
664,Somerst,VinylSd,VinylSd,423000
665,Gilbert,VinylSd,VinylSd,230500
666,NAmes,Plywood,Plywood,129000
667,SawyerW,HdBoard,HdBoard,193500
668,Sawyer,CemntBd,Wd Sdng,168000
669,Crawfor,MetalSd,MetalSd,137500
670,CollgCr,VinylSd,VinylSd,173500
671,Edwards,Wd Sdng,Wd Sdng,103600
672,Veenker,Plywood,Plywood,165000
673,Crawfor,CemntBd,CmentBd,257500
674,NAmes,HdBoard,HdBoard,140000
675,NPkVill,Plywood,Brk Cmn,148500
676,OldTown,AsbShng,Stucco,87000
677,OldTown,VinylSd,VinylSd,109500
678,StoneBr,VinylSd,VinylSd,372500
679,Sawyer,Wd Sdng,Wd Sdng,128500
680,SawyerW,Plywood,Plywood,143000
681,SWISU,VinylSd,Stucco,159434
682,ClearCr,Wd Sdng,Wd Sdng,173000
683,CollgCr,VinylSd,VinylSd,285000
684,NoRidge,VinylSd,VinylSd,221000
685,StoneBr,HdBoard,HdBoard,207500
686,Somerst,VinylSd,VinylSd,227875
687,Somerst,MetalSd,MetalSd,148800
688,StoneBr,MetalSd,MetalSd,392000
689,NridgHt,VinylSd,VinylSd,194700
690,CollgCr,VinylSd,VinylSd,141000
691,NoRidge,HdBoard,HdBoard,755000
692,Timber,MetalSd,MetalSd,335000
693,OldTown,MetalSd,MetalSd,108480
694,BrkSide,Wd Sdng,Wd Sdng,141500
695,Timber,HdBoard,HdBoard,176000
696,BrkSide,Wd Sdng,Wd Shng,89000
697,Edwards,Wd Sdng,Wd Sdng,123500
698,Sawyer,MetalSd,MetalSd,138500
699,Somerst,MetalSd,MetalSd,196000
700,Timber,VinylSd,VinylSd,312500
701,NWAmes,HdBoard,HdBoard,140000
702,StoneBr,VinylSd,VinylSd,361919
703,OldTown,Wd Sdng,Wd Sdng,140000
704,CollgCr,VinylSd,VinylSd,213000
705,IDOTRR,VinylSd,Wd Shng,55000
706,ClearCr,Plywood,Plywood,302000
707,NridgHt,MetalSd,MetalSd,254000
708,Gilbert,VinylSd,VinylSd,179540
709,Sawyer,HdBoard,HdBoard,109900
710,BrkSide,VinylSd,VinylSd,52000
711,IDOTRR,MetalSd,MetalSd,102776
712,StoneBr,HdBoard,HdBoard,189000
713,BrkSide,HdBoard,HdBoard,129000
714,Sawyer,HdBoard,Plywood,130500
715,NWAmes,HdBoard,HdBoard,165000
716,OldTown,Wd Sdng,VinylSd,159500
717,NWAmes,HdBoard,HdBoard,157000
718,NoRidge,Wd Sdng,ImStucc,341000
719,CollgCr,HdBoard,Plywood,128500
720,StoneBr,HdBoard,HdBoard,275000
721,CollgCr,VinylSd,VinylSd,143000
722,NAmes,MetalSd,MetalSd,124500
723,Edwards,MetalSd,MetalSd,135000
724,Edwards,CemntBd,CmentBd,320000
725,NAmes,HdBoard,Plywood,120500
726,Crawfor,Wd Sdng,Plywood,222000
727,CollgCr,VinylSd,VinylSd,194500
728,NAmes,VinylSd,VinylSd,110000
729,IDOTRR,MetalSd,MetalSd,103000
730,StoneBr,CemntBd,CmentBd,236500
731,Timber,VinylSd,VinylSd,187500
732,CollgCr,VinylSd,VinylSd,222500
733,Sawyer,HdBoard,HdBoard,131400
734,Sawyer,Plywood,Plywood,108000
735,OldTown,Wd Sdng,Wd Sdng,163000
736,NAmes,Stucco,Stone,93500
737,Gilbert,VinylSd,VinylSd,239900
738,Edwards,Plywood,Plywood,179000
739,CollgCr,VinylSd,VinylSd,190000
740,OldTown,Wd Sdng,Wd Shng,132000
741,Sawyer,HdBoard,HdBoard,142000
742,SawyerW,VinylSd,VinylSd,179000
743,Sawyer,HdBoard,HdBoard,175000
744,StoneBr,HdBoard,HdBoard,180000
745,NWAmes,VinylSd,VinylSd,299800
746,Gilbert,VinylSd,VinylSd,236000
747,OldTown,Stucco,Stucco,265979
748,NoRidge,VinylSd,VinylSd,260400
749,Edwards,WdShing,Wd Shng,98000
750,OldTown,Wd Sdng,Wd Sdng,96500
751,Gilbert,VinylSd,VinylSd,162000
752,CollgCr,VinylSd,VinylSd,217000
753,NridgHt,VinylSd,VinylSd,275500
754,NAmes,Plywood,Plywood,156000
755,Somerst,MetalSd,MetalSd,172500
756,CollgCr,VinylSd,VinylSd,212000
757,Sawyer,HdBoard,HdBoard,158900
758,Somerst,MetalSd,MetalSd,179400
759,NoRidge,VinylSd,VinylSd,290000
760,NAmes,Wd Sdng,Wd Sdng,127500
761,BrkSide,Wd Sdng,Wd Sdng,100000
762,Somerst,VinylSd,VinylSd,215200
763,NoRidge,VinylSd,VinylSd,337000
764,Veenker,BrkFace,BrkFace,270000
765,Somerst,VinylSd,VinylSd,264132
766,NWAmes,HdBoard,HdBoard,196500
767,Mitchel,VinylSd,VinylSd,160000
768,CollgCr,VinylSd,VinylSd,216837
769,StoneBr,CemntBd,Wd Shng,538000
770,Sawyer,Wd Sdng,Wd Sdng,134900
771,Edwards,Wd Sdng,Wd Sdng,102000
772,Edwards,Plywood,Plywood,107000
773,NAmes,Wd Sdng,Wd Sdng,114500
774,NridgHt,VinylSd,VinylSd,395000
775,Mitchel,VinylSd,VinylSd,162000
776,CollgCr,VinylSd,VinylSd,221500
777,Sawyer,HdBoard,Plywood,142500
778,SawyerW,Plywood,Plywood,144000
779,Mitchel,Plywood,ImStucc,135000
780,Gilbert,HdBoard,HdBoard,176000
781,SawyerW,VinylSd,VinylSd,175900
782,CollgCr,VinylSd,VinylSd,187100
783,Mitchel,Plywood,Plywood,165500
784,OldTown,Wd Sdng,Wd Shng,128000
785,NWAmes,BrkFace,Wd Sdng,161500
786,OldTown,MetalSd,MetalSd,139000
787,SawyerW,VinylSd,VinylSd,233000
788,OldTown,MetalSd,MetalSd,107900
789,ClearCr,HdBoard,HdBoard,187500
790,Blmngtn,VinylSd,VinylSd,160200
791,Mitchel,HdBoard,HdBoard,146800
792,NoRidge,MetalSd,MetalSd,269790
793,Somerst,CemntBd,CmentBd,225000
794,Gilbert,MetalSd,MetalSd,194500
795,SawyerW,HdBoard,HdBoard,171000
796,Sawyer,Plywood,Plywood,143500
797,NAmes,VinylSd,VinylSd,110000
798,NridgHt,VinylSd,VinylSd,485000
799,SWISU,Wd Sdng,Wd Sdng,175000
800,ClearCr,VinylSd,VinylSd,200000
801,IDOTRR,MetalSd,MetalSd,109900
802,CollgCr,WdShing,Wd Shng,189000
803,NridgHt,VinylSd,VinylSd,582933
804,NAmes,Wd Sdng,Wd Sdng,118000
805,Somerst,VinylSd,VinylSd,227680
806,NAmes,VinylSd,VinylSd,135500
807,BrkSide,Wd Sdng,Wd Sdng,223500
808,NAmes,VinylSd,VinylSd,159950
809,OldTown,AsbShng,AsbShng,106000
810,NWAmes,HdBoard,HdBoard,181000
811,CollgCr,VinylSd,VinylSd,144500
812,IDOTRR,Wd Sdng,Wd Sdng,55993
813,NAmes,MetalSd,MetalSd,157900
814,Edwards,Stucco,Stucco,116000
815,CollgCr,VinylSd,VinylSd,224900
816,NAmes,BrkFace,BrkFace,137000
817,Mitchel,CemntBd,CmentBd,271000
818,ClearCr,HdBoard,HdBoard,155000
819,NridgHt,VinylSd,VinylSd,224000
820,CollgCr,VinylSd,VinylSd,183000
821,OldTown,MetalSd,MetalSd,93000
822,Gilbert,VinylSd,VinylSd,225000
823,SWISU,VinylSd,VinylSd,139500
824,Somerst,VinylSd,VinylSd,232600
825,NridgHt,CemntBd,CmentBd,385000
826,BrkSide,MetalSd,MetalSd,109500
827,SawyerW,VinylSd,VinylSd,189000
828,ClearCr,Plywood,Plywood,185000
829,Somerst,MetalSd,MetalSd,147400
830,NAmes,HdBoard,HdBoard,166000
831,Somerst,MetalSd,MetalSd,151000
832,CollgCr,VinylSd,VinylSd,237000
833,NAmes,HdBoard,Plywood,167000
834,NAmes,VinylSd,VinylSd,139950
835,Sawyer,VinylSd,HdBoard,128000
836,OldTown,VinylSd,VinylSd,153500
837,BrDale,HdBoard,HdBoard,100000
838,CollgCr,VinylSd,VinylSd,144000
839,Edwards,MetalSd,MetalSd,130500
840,SWISU,Wd Sdng,Wd Sdng,140000
841,OldTown,MetalSd,MetalSd,157500
842,NAmes,HdBoard,HdBoard,174900
843,NAmes,BrkFace,BrkFace,141000
844,OldTown,Wd Sdng,Wd Sdng,153900
845,Sawyer,HdBoard,HdBoard,171000
846,SawyerW,HdBoard,HdBoard,213000
847,CollgCr,HdBoard,Plywood,133500
848,ClearCr,Wd Sdng,Wd Sdng,240000
849,Veenker,Plywood,Plywood,187000
850,CollgCr,VinylSd,VinylSd,131500
851,Blmngtn,VinylSd,VinylSd,215000
852,Crawfor,MetalSd,MetalSd,164000
853,NAmes,MetalSd,HdBoard,158000
854,Sawyer,Wd Sdng,Plywood,170000
855,Sawyer,HdBoard,HdBoard,127000
856,CollgCr,Plywood,HdBoard,147000
857,Gilbert,HdBoard,HdBoard,174000
858,NWAmes,HdBoard,HdBoard,152000
859,NWAmes,HdBoard,HdBoard,250000
860,Crawfor,Wd Sdng,Wd Sdng,189950
861,Sawyer,Plywood,HdBoard,131500
862,SawyerW,HdBoard,Plywood,152000
863,NAmes,BrkFace,Plywood,132500
864,Somerst,VinylSd,VinylSd,250580
865,NAmes,MetalSd,MetalSd,148500
866,Timber,VinylSd,VinylSd,248900
867,Sawyer,VinylSd,VinylSd,129000
868,Gilbert,Plywood,Plywood,169000
869,SawyerW,MetalSd,MetalSd,236000
870,NAmes,MetalSd,MetalSd,109500
871,CollgCr,VinylSd,VinylSd,200500
872,NAmes,WdShing,Wd Shng,116000
873,NAmes,HdBoard,HdBoard,133000
874,OldTown,Wd Sdng,Wd Sdng,66500
875,Somerst,CemntBd,CmentBd,303477
876,Mitchel,HdBoard,Plywood,132250
877,NridgHt,VinylSd,VinylSd,350000
878,Sawyer,HdBoard,HdBoard,148000
879,CollgCr,VinylSd,VinylSd,136500
880,Edwards,VinylSd,VinylSd,157000
881,Timber,HdBoard,HdBoard,187500
882,Gilbert,VinylSd,VinylSd,178000
883,SWISU,Wd Sdng,Wd Sdng,118500
884,NAmes,HdBoard,HdBoard,100000
885,Somerst,MetalSd,MetalSd,328900
886,NAmes,MetalSd,MetalSd,145000
887,Edwards,MetalSd,MetalSd,135500
888,NAmes,Wd Sdng,Wd Sdng,268000
889,NAmes,Wd Sdng,Wd Sdng,149500
890,NAmes,MetalSd,MetalSd,122900
891,Sawyer,HdBoard,HdBoard,172500
892,Sawyer,HdBoard,HdBoard,154500
893,Sawyer,Wd Sdng,Plywood,165000
894,SawyerW,Plywood,Plywood,118858
895,NAmes,HdBoard,HdBoard,140000
896,IDOTRR,Wd Sdng,Wd Sdng,106500
897,SawyerW,Plywood,Plywood,142953
898,NridgHt,VinylSd,VinylSd,611657
899,Sawyer,HdBoard,Plywood,135000
900,NAmes,HdBoard,HdBoard,110000
901,NAmes,MetalSd,MetalSd,153000
902,Gilbert,VinylSd,VinylSd,180000
903,Gilbert,VinylSd,VinylSd,240000
904,Sawyer,HdBoard,Wd Sdng,125500
905,NAmes,HdBoard,HdBoard,128000
906,Somerst,VinylSd,VinylSd,255000
907,Crawfor,BrkFace,BrkFace,250000
908,Mitchel,HdBoard,HdBoard,131000
909,Gilbert,VinylSd,VinylSd,174000
910,NAmes,MetalSd,MetalSd,154300
911,CollgCr,HdBoard,Plywood,143500
912,BrkSide,MetalSd,MetalSd,88000
913,Crawfor,MetalSd,MetalSd,145000
914,Somerst,VinylSd,VinylSd,173733
915,MeadowV,CemntBd,CmentBd,75000
916,IDOTRR,AsbShng,AsbShng,35311
917,Edwards,VinylSd,VinylSd,135000
918,SawyerW,HdBoard,HdBoard,238000
919,NAmes,MetalSd,MetalSd,176500
920,SawyerW,HdBoard,HdBoard,201000
921,Edwards,MetalSd,MetalSd,145900
922,Gilbert,VinylSd,VinylSd,169990
923,SawyerW,Plywood,Plywood,193000
924,NWAmes,Plywood,Plywood,207500
925,NWAmes,VinylSd,VinylSd,175000
926,NridgHt,VinylSd,VinylSd,285000
927,NWAmes,MetalSd,MetalSd,176000
928,CollgCr,VinylSd,VinylSd,236500
929,Gilbert,HdBoard,HdBoard,222000
930,Timber,VinylSd,VinylSd,201000
931,NAmes,VinylSd,VinylSd,117500
932,Somerst,VinylSd,ImStucc,320000
933,CollgCr,VinylSd,VinylSd,190000
934,NAmes,Wd Sdng,Wd Sdng,242000
935,BrkSide,MetalSd,MetalSd,79900
936,SawyerW,VinylSd,VinylSd,184900
937,Somerst,VinylSd,VinylSd,253000
938,CollgCr,VinylSd,VinylSd,239799
939,ClearCr,MetalSd,MetalSd,244400
940,Mitchel,Plywood,Plywood,150900
941,Gilbert,VinylSd,VinylSd,214000
942,Edwards,MetalSd,MetalSd,150000
943,Mitchel,HdBoard,Plywood,143000
944,Timber,HdBoard,HdBoard,137500
945,OldTown,VinylSd,VinylSd,124900
946,NAmes,HdBoard,HdBoard,143000
947,Timber,VinylSd,VinylSd,270000
948,CollgCr,VinylSd,VinylSd,192500
949,NWAmes,Plywood,Plywood,197500
950,NAmes,VinylSd,VinylSd,129000
951,SawyerW,VinylSd,VinylSd,119900
952,CollgCr,WdShing,HdBoard,133900
953,Mitchel,HdBoard,HdBoard,172000
954,Edwards,WdShing,Plywood,127500
955,Crawfor,MetalSd,MetalSd,145000
956,Blueste,MetalSd,MetalSd,124000
957,Sawyer,MetalSd,MetalSd,132000
958,CollgCr,VinylSd,VinylSd,185000
959,Somerst,MetalSd,MetalSd,155000
960,BrkSide,Wd Sdng,Plywood,116500
961,NWAmes,HdBoard,HdBoard,272000
962,NPkVill,Plywood,Brk Cmn,155000
963,CollgCr,VinylSd,VinylSd,239000
964,Timber,VinylSd,VinylSd,214900
965,Gilbert,VinylSd,VinylSd,178900
966,Crawfor,MetalSd,MetalSd,160000
967,NAmes,Wd Sdng,Wd Sdng,135000
968,OldTown,VinylSd,VinylSd,37900
969,NAmes,HdBoard,HdBoard,140000
970,NAmes,AsbShng,AsbShng,135000
971,NridgHt,VinylSd,Wd Shng,173000
972,SawyerW,Plywood,Plywood,99500
973,Somerst,CemntBd,CmentBd,182000
974,BrkSide,HdBoard,HdBoard,167500
975,Somerst,MetalSd,MetalSd,165000
976,BrkSide,Wd Sdng,Wd Sdng,85500
977,Somerst,VinylSd,VinylSd,199900
978,Edwards,MetalSd,MetalSd,110000
979,Sawyer,VinylSd,VinylSd,139000
980,NAmes,CemntBd,CmentBd,178400
981,NoRidge,VinylSd,VinylSd,336000
982,Blmngtn,VinylSd,VinylSd,159895
983,CollgCr,CemntBd,CmentBd,255900
984,Mitchel,Plywood,Plywood,126000
985,Edwards,MetalSd,MetalSd,125000
986,OldTown,VinylSd,VinylSd,117000
987,NridgHt,VinylSd,VinylSd,395192
988,NWAmes,Plywood,Plywood,195000
989,Somerst,VinylSd,VinylSd,197000
990,NoRidge,VinylSd,VinylSd,348000
991,OldTown,Wd Sdng,Wd Sdng,168000
992,NAmes,Wd Sdng,Wd Sdng,187000
993,CollgCr,VinylSd,VinylSd,173900
994,NridgHt,CemntBd,CmentBd,337500
995,BrkSide,MetalSd,MetalSd,121600
996,NAmes,Wd Sdng,Wd Sdng,136500
997,NWAmes,HdBoard,HdBoard,185000
998,IDOTRR,Wd Sdng,Wd Sdng,91000
999,CollgCr,VinylSd,VinylSd,206000
1000,Edwards,BrkComm,Brk Cmn,82000
1001,OldTown,Wd Sdng,Wd Sdng,86000
1002,Somerst,VinylSd,VinylSd,232000
1003,NWAmes,VinylSd,VinylSd,136905
1004,Blmngtn,VinylSd,VinylSd,181000
1005,CollgCr,HdBoard,HdBoard,149900
1006,NAmes,Plywood,Plywood,163500
1007,MeadowV,CemntBd,CmentBd,88000
1008,Mitchel,VinylSd,VinylSd,240000
1009,SWISU,Wd Sdng,Wd Sdng,102000
1010,Sawyer,Wd Sdng,Wd Sdng,135000
1011,Edwards,AsphShn,AsphShn,100000
1012,Crawfor,Wd Sdng,Wd Sdng,165000
1013,OldTown,MetalSd,Stucco,85000
1014,NAmes,MetalSd,MetalSd,119200
1015,NWAmes,VinylSd,VinylSd,227000
1016,CollgCr,VinylSd,VinylSd,203000
1017,StoneBr,HdBoard,HdBoard,187500
1018,Gilbert,HdBoard,HdBoard,160000
1019,Blmngtn,VinylSd,VinylSd,213490
1020,Edwards,VinylSd,VinylSd,176000
1021,CollgCr,VinylSd,VinylSd,194000
1022,OldTown,Wd Sdng,Wd Sdng,87000
1023,Blmngtn,VinylSd,VinylSd,191000
1024,Timber,Stone,HdBoard,287000
1025,CollgCr,VinylSd,VinylSd,112500
1026,NAmes,MetalSd,HdBoard,167500
1027,Timber,VinylSd,VinylSd,293077
1028,NAmes,WdShing,Wd Shng,105000
1029,BrDale,HdBoard,HdBoard,118000
1030,SWISU,VinylSd,VinylSd,160000
1031,SWISU,Wd Sdng,Plywood,197000
1032,NoRidge,MetalSd,MetalSd,310000
1033,CollgCr,VinylSd,VinylSd,230000
1034,Crawfor,MetalSd,MetalSd,119750
1035,Edwards,Wd Sdng,Wd Sdng,84000
1036,Timber,VinylSd,VinylSd,315500
1037,CollgCr,VinylSd,VinylSd,287000
1038,MeadowV,CemntBd,CmentBd,97000
1039,MeadowV,CemntBd,CmentBd,80000
1040,Sawyer,Wd Sdng,Wd Sdng,155000
1041,NWAmes,HdBoard,HdBoard,173000
1042,NridgHt,VinylSd,VinylSd,196000
1043,SawyerW,HdBoard,HdBoard,262280
1044,NWAmes,BrkFace,BrkFace,278000
1045,Edwards,BrkFace,Wd Sdng,139600
1046,StoneBr,CemntBd,CmentBd,556581
1047,CollgCr,VinylSd,VinylSd,145000
1048,Mitchel,HdBoard,HdBoard,115000
1049,Edwards,MetalSd,MetalSd,84900
1050,Gilbert,VinylSd,VinylSd,176485
1051,CollgCr,VinylSd,VinylSd,200141
1052,NAmes,VinylSd,VinylSd,165000
1053,Edwards,HdBoard,HdBoard,144500
1054,CollgCr,VinylSd,VinylSd,255000
1055,NWAmes,Plywood,Plywood,180000
1056,NridgHt,VinylSd,VinylSd,185850
1057,NoRidge,HdBoard,HdBoard,248000
1058,NridgHt,VinylSd,VinylSd,335000
1059,Crawfor,MetalSd,MetalSd,220000
1060,StoneBr,CemntBd,CmentBd,213500
1061,IDOTRR,MetalSd,MetalSd,81000
1062,OldTown,Wd Sdng,Wd Sdng,90000
1063,OldTown,MetalSd,MetalSd,110500
1064,NAmes,Plywood,Plywood,154000
1065,ClearCr,Wd Sdng,Wd Sdng,328000
1066,Gilbert,VinylSd,VinylSd,178000
1067,NAmes,HdBoard,HdBoard,167900
1068,MeadowV,CemntBd,CmentBd,151400
1069,NAmes,MetalSd,MetalSd,135000
1070,NAmes,MetalSd,MetalSd,135000
1071,NWAmes,MetalSd,MetalSd,154000
1072,Edwards,MetalSd,MetalSd,91500
1073,Edwards,HdBoard,Plywood,159500
1074,CollgCr,VinylSd,VinylSd,194000
1075,Crawfor,Wd Sdng,Wd Sdng,219500
1076,OldTown,Wd Sdng,Wd Sdng,170000
1077,NAmes,VinylSd,Plywood,138800
1078,CollgCr,VinylSd,VinylSd,155900
1079,CollgCr,VinylSd,VinylSd,126000
1080,NWAmes,VinylSd,VinylSd,145000
1081,Sawyer,HdBoard,HdBoard,133000
1082,CollgCr,VinylSd,VinylSd,192000
1083,NAmes,HdBoard,HdBoard,160000
1084,Gilbert,HdBoard,HdBoard,187500
1085,SawyerW,HdBoard,HdBoard,147000
1086,MeadowV,CemntBd,CmentBd,83500
1087,Somerst,VinylSd,VinylSd,252000
1088,Edwards,VinylSd,VinylSd,137500
1089,Somerst,MetalSd,MetalSd,197000
1090,NAmes,BrkFace,BrkFace,92900
1091,Somerst,MetalSd,MetalSd,160000
1092,SWISU,MetalSd,MetalSd,136500
1093,NAmes,MetalSd,MetalSd,146000
1094,NAmes,MetalSd,MetalSd,129000
1095,CollgCr,VinylSd,VinylSd,176432
1096,IDOTRR,Wd Sdng,Wd Sdng,127000
1097,StoneBr,HdBoard,HdBoard,170000
1098,BrkSide,MetalSd,MetalSd,128000
1099,NWAmes,Plywood,Plywood,157000
1100,SWISU,Wd Sdng,Wd Sdng,60000
1101,NAmes,HdBoard,MetalSd,119500
1102,NAmes,Wd Sdng,Wd Sdng,135000
1103,NAmes,BrkFace,BrkFace,159500
1104,BrDale,HdBoard,HdBoard,106000
1105,NoRidge,HdBoard,HdBoard,325000
1106,SawyerW,HdBoard,HdBoard,179900
1107,Gilbert,VinylSd,VinylSd,274725
1108,Gilbert,VinylSd,VinylSd,181000
1109,NridgHt,MetalSd,MetalSd,280000
1110,Gilbert,HdBoard,HdBoard,188000
1111,NWAmes,Plywood,Plywood,205000
1112,NAmes,WdShing,Wd Shng,129900
1113,NAmes,Wd Sdng,Wd Sdng,134500
1114,OldTown,MetalSd,MetalSd,117000
1115,NridgHt,VinylSd,VinylSd,318000
1116,Gilbert,VinylSd,VinylSd,184100
1117,Sawyer,VinylSd,VinylSd,130000
1118,Sawyer,MetalSd,MetalSd,140000
1119,NAmes,BrkFace,Wd Sdng,133700
1120,IDOTRR,BrkFace,BrkFace,118400
1121,CollgCr,VinylSd,VinylSd,212900
1122,Edwards,AsbShng,AsbShng,112000
1123,Edwards,VinylSd,VinylSd,118000
1124,Gilbert,HdBoard,HdBoard,163900
1125,NAmes,Plywood,Plywood,115000
1126,Blmngtn,VinylSd,VinylSd,174000
1127,Gilbert,VinylSd,VinylSd,259000
1128,Gilbert,VinylSd,VinylSd,215000
1129,OldTown,MetalSd,MetalSd,140000
1130,SWISU,WdShing,Plywood,135000
1131,Mitchel,HdBoard,HdBoard,93500
1132,OldTown,Wd Sdng,Wd Sdng,117500
1133,SawyerW,VinylSd,VinylSd,239500
1134,Gilbert,VinylSd,VinylSd,169000
1135,BrkSide,Wd Sdng,Wd Sdng,102000
1136,NAmes,VinylSd,VinylSd,119000
1137,Sawyer,VinylSd,VinylSd,94000
1138,Mitchel,Plywood,ImStucc,196000
1139,BrkSide,Stucco,Stucco,144000
1140,NAmes,HdBoard,HdBoard,139000
1141,NWAmes,Plywood,Plywood,197500
1142,CollgCr,VinylSd,VinylSd,424870
1143,Sawyer,Wd Sdng,Plywood,80000
1144,Edwards,MetalSd,MetalSd,80000
1145,BrkSide,MetalSd,MetalSd,149000
1146,SawyerW,Wd Sdng,Wd Shng,180000
1147,Crawfor,MetalSd,MetalSd,174500
1148,OldTown,Wd Sdng,Wd Sdng,116900
1149,OldTown,VinylSd,VinylSd,143000
1150,NAmes,BrkFace,BrkFace,124000
1151,Edwards,HdBoard,Plywood,149900
1152,Crawfor,Stone,Stone,230000
1153,IDOTRR,Wd Sdng,Wd Sdng,120500
1154,NAmes,VinylSd,VinylSd,201800
1155,Veenker,Plywood,Plywood,218000
1156,NAmes,BrkFace,BrkFace,179900
1157,NridgHt,VinylSd,VinylSd,230000
1158,Somerst,VinylSd,VinylSd,235128
1159,NWAmes,HdBoard,HdBoard,185000
1160,NPkVill,Plywood,Brk Cmn,146000
1161,Crawfor,HdBoard,HdBoard,224000
1162,Sawyer,VinylSd,VinylSd,129000
1163,Sawyer,Plywood,Plywood,108959
1164,Veenker,Plywood,Plywood,194000
1165,NridgHt,VinylSd,VinylSd,233170
1166,CollgCr,VinylSd,VinylSd,245350
1167,Gilbert,VinylSd,VinylSd,173000
1168,Edwards,Stucco,Stucco,235000
1169,NoRidge,HdBoard,HdBoard,625000
1170,Mitchel,Plywood,Plywood,171000
1171,NAmes,MetalSd,MetalSd,163000
1172,Somerst,MetalSd,MetalSd,171900
1173,ClearCr,MetalSd,MetalSd,200500
1174,Crawfor,Wd Sdng,Wd Sdng,239000
1175,NoRidge,HdBoard,HdBoard,285000
1176,Mitchel,HdBoard,Plywood,119500
1177,OldTown,MetalSd,MetalSd,115000
1178,Crawfor,Wd Sdng,Wd Sdng,154900
1179,Edwards,Wd Sdng,Wd Sdng,93000
1180,Timber,MetalSd,MetalSd,250000
1181,Crawfor,CemntBd,CmentBd,392500
1182,NoRidge,Wd Sdng,ImStucc,745000
1183,OldTown,Stucco,Stucco,120000
1184,Timber,MetalSd,MetalSd,186700
1185,Edwards,AsbShng,AsbShng,104900
1186,OldTown,HdBoard,HdBoard,95000
1187,NoRidge,ImStucc,ImStucc,262000
1188,CollgCr,VinylSd,VinylSd,195000
1189,Gilbert,VinylSd,VinylSd,189000
1190,Mitchel,MetalSd,MetalSd,168000
1191,Somerst,MetalSd,MetalSd,174000
1192,OldTown,VinylSd,VinylSd,125000
1193,Mitchel,VinylSd,VinylSd,165000
1194,Sawyer,HdBoard,HdBoard,158000
1195,Gilbert,VinylSd,VinylSd,176000
1196,Gilbert,VinylSd,VinylSd,219210
1197,OldTown,MetalSd,MetalSd,144000
1198,CollgCr,VinylSd,VinylSd,178000
1199,Sawyer,HdBoard,HdBoard,148000
1200,NAmes,MetalSd,MetalSd,116050
1201,CollgCr,VinylSd,VinylSd,197900
1202,BrkSide,Wd Sdng,Wd Sdng,117000
1203,CollgCr,VinylSd,VinylSd,213000
1204,NWAmes,HdBoard,HdBoard,153500
1205,SawyerW,HdBoard,HdBoard,271900
